python main.py --dataset DD --epochs 100 --batch_size 4 
--eval_batch_size 4 --lambda_compute 0.01 --max_k 512

C:\project\Anaconda1\envs\gtsp_env\lib\site-packages\torch_geometric\data\in_memory_dataset.py:300: UserWarning: It is not recommended to directly access the internal storage format `data` of an 'InMemoryDataset'. If you are absolutely certain what you are doing, access the internal storage via `InMemoryDataset._data` instead to suppress this warning. Alternatively, you can access stacked individual attributes of every graph via `dataset.{attr_name}`.
  warnings.warn(msg)
Model parameters: 200,974
Trainable parameters: 200,974
Epoch 088 | Loss 0.3117 (task 0.3115, comp 0.0179) | Val 0.7179 | Test 0.6639 | tau 0.68 | avg_token_ratio 0.605
Epoch 089 | Loss 0.2461 (task 0.2459, comp 0.0191) | Val 0.7350 | Test 0.6218 | tau 0.67 | avg_token_ratio 0.604
Epoch 090 | Loss 0.2570 (task 0.2568, comp 0.0187) | Val 0.6838 | Test 0.6891 | tau 0.65 | avg_token_ratio 0.604
Epoch 091 | Loss 0.2343 (task 0.2341, comp 0.0180) | Val 0.7265 | Test 0.6891 | tau 0.64 | avg_token_ratio 0.605
Epoch 092 | Loss 0.2352 (task 0.2350, comp 0.0199) | Val 0.7265 | Test 0.6891 | tau 0.62 | avg_token_ratio 0.605
Epoch 093 | Loss 0.2878 (task 0.2876, comp 0.0188) | Val 0.7009 | Test 0.7059 | tau 0.61 | avg_token_ratio 0.606
Epoch 094 | Loss 0.2486 (task 0.2484, comp 0.0196) | Val 0.7009 | Test 0.7227 | tau 0.59 | avg_token_ratio 0.605
Epoch 095 | Loss 0.3138 (task 0.3136, comp 0.0195) | Val 0.7521 | Test 0.6975 | tau 0.58 | avg_token_ratio 0.605
Epoch 096 | Loss 0.2119 (task 0.2118, comp 0.0192) | Val 0.7094 | Test 0.6723 | tau 0.56 | avg_token_ratio 0.603
Epoch 097 | Loss 0.2589 (task 0.2587, comp 0.0191) | Val 0.7094 | Test 0.6891 | tau 0.55 | avg_token_ratio 0.610
Epoch 098 | Loss 0.2206 (task 0.2204, comp 0.0199) | Val 0.7265 | Test 0.6639 | tau 0.53 | avg_token_ratio 0.609
Epoch 099 | Loss 0.2707 (task 0.2705, comp 0.0199) | Val 0.7350 | Test 0.6891 | tau 0.52 | avg_token_ratio 0.602
Epoch 100 | Loss 0.2870 (task 0.2868, comp 0.0200) | Val 0.7009 | Test 0.7395 | tau 0.50 | avg_token_ratio 0.603
============================================================
Best  Val Acc: 0.7778
Best Test Acc: 0.6723
